Demand,Inventory,Workers,Working_Hours,Raw_Material,Production
1290,261,13,6.8,2131,1799.0
1828,342,34,10.6,1157,2265.0
1621,134,45,7.4,1186,2130.0
868,355,28,6.5,835,1301.0
1897,249,41,10.9,2275,2652.0
1601,54,56,11.7,1726,2424.0
1553,109,11,6.9,887,1689.0
1967,469,69,7.9,2165,2822.0
1179,351,78,11.5,2262,2400.0
526,156,11,10.4,2186,1318.0
1263,201,18,10.9,2285,1939.0
1897,474,13,10.1,1216,2214.0
831,329,28,11.0,2408,1769.0
1847,67,56,6.3,1780,2433.0
1972,202,56,9.1,1769,2593.0
678,102,15,9.1,574,1053.0
1445,484,71,10.1,2422,2554.0
1479,312,26,7.1,1838,1967.0
642,443,17,7.2,1814,1261.0
837,153,18,9.3,1309,1382.0
1402,461,74,9.7,681,2168.0
1172,240,35,7.3,1883,1834.0
1502,348,14,11.6,1512,2000.0
1013,392,28,9.7,2224,1874.0
1409,433,68,7.8,1436,2230.0
879,67,62,7.7,2013,1810.0
1619,181,20,6.4,1034,1857.0
1678,300,73,10.3,1995,2667.0
1729,324,75,7.0,1110,2383.0
1212,425,29,11.6,1074,1847.0
1106,163,12,11.9,1427,1660.0
1289,413,55,8.6,1775,2114.0
1280,315,28,9.5,1955,1969.0
1195,274,13,11.4,1609,1762.0
953,418,68,11.7,727,1873.0
1886,56,10,7.5,1326,2066.0
1594,433,30,7.6,2366,2260.0
1687,383,61,11.0,2363,2648.0
1972,482,66,6.5,2180,2758.0
678,185,73,7.7,809,1559.0
1886,485,60,8.3,913,2485.0
1032,477,67,8.0,509,1739.0
1507,344,16,7.0,1011,1762.0
1773,409,29,8.5,823,2079.0
1040,492,45,9.3,1120,1765.0
1485,310,70,11.4,2053,2544.0
1303,364,30,8.2,2359,2025.0
1453,207,46,10.4,1830,2229.0
1025,235,46,8.3,2276,1900.0
826,396,25,9.6,1286,1454.0
1909,319,68,11.2,2191,2886.0
1998,132,37,9.5,899,2317.0
1693,222,11,10.3,826,1923.0
1650,101,18,8.0,1939,2088.0
1117,236,37,9.8,1602,1850.0
1411,94,71,6.8,1997,2277.0
1503,258,20,10.3,503,1807.0
674,294,68,8.7,824,1605.0
1101,63,76,7.4,901,1858.0
1912,465,77,6.8,1654,2678.0
689,373,20,10.4,1795,1458.0
1148,391,62,10.8,2409,2254.0
1387,294,72,9.7,2292,2458.0
985,307,14,7.3,693,1294.0
1220,77,76,6.8,2038,2212.0
1971,113,76,10.5,1019,2662.0
1772,272,76,11.6,1600,2708.0
611,347,17,6.6,1833,1264.0
1885,455,42,7.0,1375,2321.0
1380,170,69,6.4,2256,2286.0
1455,205,71,6.7,1076,2174.0
1907,153,35,8.6,1403,2269.0
628,399,67,9.2,933,1582.0
611,475,22,6.8,2080,1346.0
648,217,61,10.5,926,1569.0
1558,306,28,9.7,1845,2123.0
946,301,60,8.7,778,1695.0
1407,247,62,6.2,1995,2203.0
528,348,76,9.1,967,1571.0
1137,226,70,9.3,1658,2114.0
642,474,73,10.1,1926,1892.0
1039,438,60,11.2,910,1909.0
790,354,64,7.5,1015,1631.0
1521,321,13,7.2,2488,2069.0
1846,314,75,9.4,1338,2616.0
711,134,61,7.6,1367,1602.0
1240,62,51,7.1,1671,1934.0
1913,430,10,10.5,1321,2223.0
1074,52,39,6.7,1410,1630.0
1259,301,27,7.5,1402,1723.0
703,197,78,7.7,727,1585.0
1521,359,57,10.1,627,2142.0
1548,375,25,11.7,1020,2022.0
1299,241,44,8.4,2366,2104.0
1888,250,47,7.6,705,2286.0
1710,313,28,10.3,513,2020.0
1816,460,37,9.1,1329,2274.0
1670,475,15,11.9,2181,2314.0
1516,369,34,8.6,2162,2227.0
966,134,78,7.1,2389,2087.0
1632,469,27,6.7,722,1866.0
1404,198,28,11.8,1196,1980.0
1703,300,39,6.7,1066,2098.0
848,127,76,9.4,1142,1835.0
1170,60,34,8.4,964,1605.0
757,431,74,11.3,1541,1950.0
1060,172,28,9.8,1306,1688.0
964,150,75,8.2,571,1720.0
1581,350,44,7.7,2273,2315.0
764,315,26,6.4,731,1208.0
1283,477,27,9.8,921,1782.0
1963,362,25,10.0,1807,2426.0
1533,238,38,8.6,1746,2144.0
1478,438,59,8.7,1897,2357.0
806,486,30,6.5,2109,1567.0
898,212,52,7.4,1961,1758.0
789,229,65,8.7,1949,1836.0
1782,258,69,10.4,985,2488.0
1537,265,31,8.8,1659,2085.0
1857,227,37,10.8,1581,2418.0
575,148,64,7.8,1010,1480.0
1271,202,50,11.5,2064,2226.0
887,110,71,7.5,1413,1760.0
1782,203,46,8.4,1048,2236.0
1603,164,12,6.1,1098,1744.0
1213,439,56,10.5,1864,2161.0
1538,311,53,6.7,1196,2109.0
833,406,22,10.6,976,1421.0
1958,360,77,8.7,1418,2731.0
555,389,21,8.2,2067,1333.0
1273,259,52,6.9,1441,1977.0
1240,363,75,11.2,501,2063.0
818,55,44,11.4,630,1505.0
