Demand,Inventory,Workers,Working_Hours,Raw_Material,Production
1063,215,24,9.0,880,1076
841,252,20,6.4,959,873
963,151,17,8.4,1530,1144
1351,162,35,9.0,528,1192
1098,192,14,10.3,1406,1206
512,244,15,6.6,1556,827
401,250,35,6.8,1378,802
1041,264,13,7.6,578,859
619,175,28,7.6,1446,934
1254,268,29,10.4,958,1252
784,105,42,7.5,1069,1022
1476,38,29,9.8,1237,1406
1129,103,21,9.0,1015,1149
646,282,10,9.4,1622,980
1235,259,35,11.0,896,1265
602,36,23,8.4,538,726
522,203,47,10.6,1794,1102
800,170,46,8.5,1386,1149
1166,197,20,8.1,1296,1183
693,199,45,11.8,656,942
679,151,22,7.1,1598,1008
1283,223,12,6.5,1383,1242
597,34,42,10.6,1653,1162
1381,58,15,6.4,1473,1323
1151,194,19,11.0,1607,1287
543,165,14,8.6,1545,928
1008,174,32,11.5,1348,1244
586,246,19,10.3,1247,871
863,161,11,9.7,1488,1065
1059,99,22,11.7,520,1048
1163,281,49,8.4,802,1200
1354,211,11,11.7,1368,1363
802,196,29,6.8,583,838
546,120,10,8.9,1780,942
1263,231,46,7.6,1069,1307
888,48,18,9.2,1433,1123
1328,68,26,7.0,1685,1375
950,155,18,11.0,1686,1251
737,202,20,11.1,1508,1056
1271,170,24,11.7,1292,1335
1040,271,33,6.9,1291,1162
872,249,47,9.7,1794,1325
550,155,44,8.8,991,897
662,87,39,8.1,707,900
543,177,40,8.1,1583,1006
745,30,14,8.5,929,921
1023,219,23,10.2,1484,1188
1416,220,20,9.6,1019,1287
1280,146,18,8.8,1090,1193
401,163,43,6.5,1550,976
1296,87,21,6.5,698,1073
653,73,44,6.0,886,919
852,202,44,11.8,848,1077
1460,189,10,6.0,1459,1291
1414,202,49,6.6,1192,1423
408,178,31,7.9,877,751
1215,109,38,10.8,1398,1442
607,242,17,11.8,1415,921
803,232,20,10.7,1026,972
551,281,50,10.1,1676,1154
453,258,46,9.1,1233,875
1027,193,23,6.5,705,955
986,256,39,11.7,954,1158
503,176,44,10.6,1796,1132
653,49,30,9.8,1759,1115
909,76,46,10.6,1020,1145
498,262,14,10.3,1516,828
552,43,28,9.8,1455,1019
1313,172,23,11.9,1225,1374
1277,30,35,11.4,1513,1485
737,83,13,9.9,1000,888
1221,288,34,10.2,616,1101
1356,173,34,6.3,885,1242
560,41,27,10.0,1083,878
1200,253,49,6.3,894,1186
797,185,17,9.5,1587,1058
1215,37,48,12.0,1220,1440
800,151,49,9.3,571,964
1039,193,23,8.8,773,1017
1456,119,41,7.9,837,1333
1087,165,47,6.7,1106,1227
859,215,42,10.4,665,1039
1354,207,32,7.2,510,1137
869,57,24,6.7,1228,1039
1445,249,42,8.5,1300,1502
1149,70,34,10.8,601,1124
437,257,26,10.5,1278,817
629,221,42,6.3,713,833
962,174,11,8.7,1611,1174
837,230,23,9.1,900,929
426,241,49,9.9,1087,944
625,249,49,9.9,1388,1086
1197,269,48,8.2,1569,1383
683,75,15,9.4,1091,871
1278,64,15,8.9,1609,1361
1359,282,12,11.3,591,1101
852,111,16,9.2,1172,1005
1419,285,17,8.6,1213,1323
1215,226,24,8.4,1435,1262
1058,39,38,9.4,741,1170
946,271,42,10.8,501,986
1472,280,39,9.2,724,1300
416,34,48,10.0,1300,951
557,148,36,10.4,1088,938
876,94,45,9.1,615,1043
1469,175,38,8.6,1417,1491
917,253,47,11.3,1626,1351
498,268,42,8.5,693,754
1460,206,46,8.8,1689,1595
679,296,36,11.9,1370,1061
896,92,42,6.0,589,960
701,246,13,7.1,621,711
580,206,31,8.3,642,773
1006,127,11,11.6,1493,1161
1099,134,19,6.4,605,929
1392,128,14,6.1,1386,1260
590,35,19,6.3,927,764
652,226,42,6.5,816,859
1380,162,47,6.2,1134,1386
1327,288,22,8.9,508,1066
527,52,40,9.5,1273,947
417,82,45,7.6,1596,1042
965,194,33,8.4,722,977
969,231,24,6.6,1052,1022
1085,112,38,8.0,1215,1228
1025,174,17,9.1,1787,1248
1253,114,14,10.4,1607,1346
1361,107,38,6.0,610,1180
554,30,13,8.8,750,738
889,80,21,7.8,882,943
1184,202,11,11.1,506,1043
645,234,36,10.3,958,947
1462,289,40,9.5,1607,1553
1158,63,45,7.7,707,1167
937,124,45,11.5,1399,1289
1320,101,35,6.3,521,1107
807,68,36,6.7,909,962
924,183,14,8.3,1394,1030
1227,279,29,6.7,1014,1184
1302,191,20,11.7,1650,1425
435,147,19,10.8,1308,852
1084,288,49,7.6,1373,1273
419,297,47,9.5,513,729
720,83,15,11.9,1470,1121
911,265,17,11.3,1477,1120
799,251,32,9.6,1513,1103
1053,280,35,11.4,1535,1323
1371,141,21,11.9,586,1152
870,284,35,10.5,1408,1160
1233,236,22,6.4,1766,1301
1126,258,49,8.4,621,1111
1253,95,27,11.0,1670,1455
450,104,34,7.4,1249,858
974,132,42,11.0,1184,1190
549,221,49,6.7,808,822
713,281,21,6.3,1194,793
969,255,45,8.3,787,1077
704,127,13,6.2,806,759
1081,278,14,11.7,1413,1176
1237,195,46,11.0,1161,1395
1477,59,17,10.8,1048,1331
